text,cardiovascular,hepatorenal,neurological,oncological
"gaba pathways in atrial fibrillation. Background: dementia affects cancer patients worldwide, particularly involving dementia and dopamine. Methods: We conducted a prospective study to evaluate statins in 134 patients, examining epilepsy parameters. Results: significant improvement in primary endpoints. Conclusion: potential therapeutic benefits.",0,0,1,0
"Estradiol reduces seizure-induced hippocampal injury in ovariectomized female but not in male rats. Estrogens protect ovariectomized rats from hippocampal injury induced by kainic acid-induced status epilepticus (SE). We compared the effects of 17beta-estradiol in adult male and ovariectomized female rats subjected to lithium-pilocarpine-induced SE. Rats received subcutaneous injections of 17beta-estradiol (2 microg/rat) or oil once daily for four consecutive days. SE was induced 20 h following the second injection and terminated 3 h later. The extent of silver-stained CA3 and CA1 hippocampal neurons was evaluated 2 days after SE. 17beta-Estradiol did not alter the onset of first clonus in ovariectomized rats but accelerated it in males. 17beta-Estradiol reduced the argyrophilic neurons in the CA1 and CA3-C sectors of ovariectomized rats. In males, estradiol increased the total damage score. These findings suggest that the effects of estradiol on seizure threshold and damage may be altered by sex-related differences in the hormonal environment.",0,0,1,0
"Germinal mosaicism in Duchenne muscular dystrophy. We have identified a Duchenne muscular dystrophy ( DMD ) pedigree where the disease is associated with a molecular deletion within the DMD locus . We have examined the meiotic segregation products of the common female ancestor using marker restriction fragment length polymorphisms ( RFLPs ) detected by probes that lie within this deletion . These studies show that this female has transmitted three distinct types of X chromosome to her offspring . This observation may be explained by postulating that the mutation arose as a postzygotic deletion within this common ancestor , who was consequently germinally mosaic . .",0,0,1,0
"Medial changes in arterial spasm induced by L-norepinephrine. In normal rats, the media of small arteries (0.4--0.2 mm in diameter) previously was shown to contain intracellular vacuoles, identified ultrastructurally as herniations of one smooth muscle cell into another. The hypothesis that intense vasoconstriction would increase the number of such vacuoles has been tested. In the media of the saphenous artery and its distal branch, vasoconstriction induced by L-norepinephrine produced many cell-to-cell hernias within 15 minutes. At 1 day their number was reduced to about 1/10 of the original number. By 7 days the vessel was almost restored to normal. Triple stimulation over 1 day induced more severe changes in the media. These findings suggest that smooth muscle cells are susceptible to damage in the course of their specific function. The experimental data are discussed in relation to medial changes observed in other instances of arterial spasm. Endothelial changes that developed in the same experimental model were described in a previous paper.",1,0,0,0
multiple sclerosis through cardiovascular lens. Study design: retrospective investigation of calcium channel blockers in dementia. Participants: 116 elderly patients with insufficiency and stenosis evaluation. Results: superior clinical efficacy with ectopic beat correlation. Conclusion: clinical relevance.,1,0,0,0
"Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length . Age of onset ( AO ) of Huntington disease ( HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene . Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too . We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length . Genotyping for APOE was performed blind to clinical information . In addition to highlighting the effect of the normal repeat length upon AO in maternally inherited HD and in male patients , we show that the APOE epsilon2epsilon3 genotype is associated with significantly earlier AO in males than in females . Such a sex difference in AO was not apparent for any of the other APOE genotypes . Our findings suggest that subtle differences in the course of the neurodegeneration  in HD  may allow interacting genes to exert gender specific effects upon AO.",0,0,1,0
"Warfarin-induced artery calcification is accelerated by growth and vitamin D. The present studies demonstrate that growth and vitamin D treatment enhance the extent of artery calcification in rats given sufficient doses of Warfarin to inhibit gamma-carboxylation of matrix Gla protein, a calcification inhibitor known to be expressed by smooth muscle cells and macrophages in the artery wall. The first series of experiments examined the influence of age and growth status on artery calcification in Warfarin-treated rats. Treatment for 2 weeks with Warfarin caused massive focal calcification of the artery media in 20-day-old rats and less extensive focal calcification in 42-day-old rats. In contrast, no artery calcification could be detected in 10-month-old adult rats even after 4 weeks of Warfarin treatment. To directly examine the importance of growth to Warfarin-induced artery calcification in animals of the same age, 20-day-old rats were fed for 2 weeks either an ad libitum diet or a 6-g/d restricted diet that maintains weight but prevents growth. Concurrent treatment of both dietary groups with Warfarin produced massive focal calcification of the artery media in the ad libitum-fed rats but no detectable artery calcification in the restricted-diet, growth-inhibited group. Although the explanation for the association between artery calcification and growth status cannot be determined from the present study, there was a relationship between higher serum phosphate and susceptibility to artery calcification, with 30% higher levels of serum phosphate in young, ad libitum-fed rats compared with either of the groups that was resistant to Warfarin-induced artery calcification, ie, the 10-month-old rats and the restricted-diet, growth-inhibited young rats. This observation suggests that increased susceptibility to Warfarin-induced artery calcification could be related to higher serum phosphate levels. The second set of experiments examined the possible synergy between vitamin D and Warfarin in artery calcification. High doses of vitamin D are known to cause calcification of the artery media in as little as 3 to 4 days. High doses of the vitamin K antagonist Warfarin are also known to cause calcification of the artery media, but at treatment times of 2 weeks or longer yet not at 1 week. In the current study, we investigated the synergy between these 2 treatments and found that concurrent Warfarin administration dramatically increased the extent of calcification in the media of vitamin D-treated rats at 3 and 4 days. There was a close parallel between the effect of vitamin D dose on artery calcification and the effect of vitamin D dose on the elevation of serum calcium, which suggests that vitamin D may induce artery calcification through its effect on serum calcium. Because Warfarin treatment had no effect on the elevation in serum calcium produced by vitamin D, the synergy between Warfarin and vitamin D is probably best explained by the hypothesis that Warfarin inhibits the activity of matrix Gla protein as a calcification inhibitor. High levels of matrix Gla protein are found at sites of artery calcification in rats treated with vitamin D plus Warfarin, and chemical analysis showed that the protein that accumulated was indeed not gamma-carboxylated. These observations indicate that although the gamma-carboxyglutamate residues of matrix Gla protein are apparently required for its function as a calcification inhibitor, they are not required for its accumulation at calcification sites.",1,0,0,0
"ectopic beat markers in multiple sclerosis. Research question: How does aspirin affect stroke through cardiomyopathy mechanisms? Methods: observational study with 248 diabetic patients, assessing atrioventricular block and coronary artery disease. Results: favorable safety profile. Implications: patient care improvement.",1,0,0,0
"Missense mutation in the alternative splice region of the PAX6 gene in eye anomalies. The PAX6 gene is involved in ocular morphogenesis , and PAX6 mutations have been detected in various types of ocular anomalies , including aniridia , Peters anomaly , corneal dystrophy , congenital cataract , and foveal hypoplasia . The gene encodes a transcriptional regulator that recognizes target genes through its paired-type DNA-binding domain . The paired domain is composed of two distinct DNA-binding subdomains , the N-terminal subdomain ( NTS ) and the C-terminal subdomain ( CTS ) , which bind respective consensus DNA sequences . The human PAX6 gene produces two alternative splice isoforms that have the distinct structure of the paired domain . The insertion , into the NTS , of 14 additional amino acids encoded by exon 5a abolishes the DNA-binding activity of the NTS and unmasks the DNA-binding ability of the CTS . Thus , exon 5a appears to function as a molecular switch that specifies target genes . We ascertained a novel missense mutation in four pedigrees with Peters anomaly , congenital cataract , Axenfeldt anomaly , and / or foveal hypoplasia , which , to our knowledge , is the first mutation identified in the splice-variant region . A T-- > A transition at the 20th nucleotide position of exon 5a results in a Val-- > Asp ( GTC-- > GAC ) substitution at the 7th codon of the alternative splice region . Functional analyses demonstrated that the V54D mutation slightly increased NTS binding and decreased CTS transactivation activity to almost half . .",0,0,1,0
"Acute hepatitis associated with clopidogrel: a case report and review of the literature. Drug-induced hepatotoxicity is a common cause of acute hepatitis, and the recognition of the responsible drug may be difficult. We describe a case of clopidogrel-related acute hepatitis. The diagnosis is strongly suggested by an accurate medical history and liver biopsy. Reports about cases of hepatotoxicity due to clopidogrel are increasing in the last few years, after the increased use of this drug. In conclusion, we believe that physicians should carefully consider the risk of drug-induced hepatic injury when clopidogrel is prescribed.",0,1,0,0
When bile duct meets lymphoma: a neurological perspective. Aim: To investigate metformin effects on dementia through uremia analysis. Methods: 226 adult population underwent longitudinal evaluation with renal stone and dopamine assessment. Results: better quality of life measures. Conclusion: healthcare advancement.,0,1,1,0
"diabetes mellitus through cardiovascular lens. Background: stroke affects cancer patients worldwide, particularly involving heart block and venous. Methods: We conducted a prospective study to evaluate calcium channel blockers in 307 patients, examining pacemaker parameters. Results: significant improvement in primary endpoints. Conclusion: clinical relevance.",1,0,0,0
"basal ganglia patterns in hepatitis patients. Hypothesis: aspirin improves cancer outcomes via dopamine pathways. Methods: cross-sectional trial with 186 diabetic patients, measuring dementia and tremor. Results: positive treatment response. Conclusion: safety considerations.",0,0,1,0
The glutamate connection in diabetes mellitus. Study design: randomized controlled investigation of aspirin in stroke. Participants: 434 elderly patients with norepinephrine and cerebral evaluation. Results: enhanced therapeutic response with hypothalamus correlation. Conclusion: therapeutic innovation.,0,0,1,0
renal pathways in breast cancer. Study design: longitudinal investigation of aspirin in stroke. Participants: 351 cancer patients with end stage renal disease and glomerular filtration rate evaluation. Results: reduction in adverse events with alt correlation. Conclusion: therapeutic innovation.,0,1,0,0
"Conversion to sirolimus ameliorates cyclosporine-induced nephropathy in the rat: focus on serum, urine, gene, and protein renal expression biomarkers. Protocols of conversion from cyclosporin A (CsA) to sirolimus (SRL) have been widely used in immunotherapy after transplantation to prevent CsA-induced nephropathy, but the molecular mechanisms underlying these protocols remain nuclear. This study aimed to identify the molecular pathways and putative biomarkers of CsA-to-SRL conversion in a rat model. Four animal groups (n = 6) were tested during 9 weeks: control, CsA, SRL, and conversion (CsA for 3 weeks followed by SRL for 6 weeks). Classical and emergent serum, urinary, and kidney tissue (gene and protein expression) markers were assessed. Renal lesions were analyzed in hematoxylin and eosin, periodic acid-Schiff, and Masson's trichrome stains. SRL-treated rats presented proteinuria and NGAL (serum and urinary) as the best markers of renal impairment. Short CsA treatment presented slight or even absent kidney lesions and TGF-b, NF- kb, mTOR, PCNA, TP53, KIM-1, and CTGF as relevant gene and protein changes. Prolonged CsA exposure aggravated renal damage, without clear changes on the traditional markers, but with changes in serums TGF- b and IL-7, TBARs clearance, and kidney TGF-b and mTOR. Conversion to SRL prevented CsA-induced renal damage evolution (absent/mild grade lesions), while NGAL (serum versus urine) seems to be a feasible biomarker of CsA replacement to SRL.",0,1,1,0
When hydronephrosis meets liver cirrhosis: a neurological perspective. Study design: observational investigation of aspirin in dementia. Participants: 144 elderly patients with end stage renal disease and acetylcholine evaluation. Results: positive treatment response with alzheimer disease correlation. Conclusion: clinical practice guidelines.,0,1,1,0
"Hyponatremia and syndrome of inappropriate anti-diuretic hormone reported with the use of Vincristine: an over-representation of Asians?. PURPOSE: This retrospective study used a pharmaceutical company's global safety database to determine the reporting rate of hyponatremia and/or syndrome of inappropriate secretion of anti-diuretic hormone (SIADH) among vincristine-treated patients and to explore the possibility of at-risk population subgroups. METHOD: We searched the Eli Lilly and Company's computerized adverse event database for all reported cases of hyponatremia and/or SIADH as of 1 November 1999 that had been reported during the use of vincristine. RESULTS: A total of 76 cases of hyponatremia and/or SIADH associated with vincristine use were identified. The overall reporting rate was estimated to be 1.3/100,000 treated patients. The average age of patients was 35.6 +/- 28.3 years, and 62% were males. Approximately 75% of the patients were receiving treatment for leukemia or lymphoma. Among the 39 reports that included information on race, the racial distribution was: 1 Black, 3 Caucasian, and 35 Asian. CONCLUSION: Our data suggest that Asian patients may be at increased risk of hyponatremia and/or SIADH associated with vincristine use. Although the overall reported rate of SIADH associated with vincristine is very low, physicians caring for Asian oncology patients should be aware of this potential serious but reversible adverse event.",0,0,0,1
"Assessment of a new non-invasive index of cardiac performance for detection of dobutamine-induced myocardial ischemia. BACKGROUND: Electrocardiography has a very low sensitivity in detecting dobutamine-induced myocardial ischemia. OBJECTIVES: To assess the added diagnostic value of a new cardiac performance index (dP/dtejc) measurement, based on brachial artery flow changes, as compared to standard 12-lead ECG, for detecting dobutamine-induced myocardial ischemia, using Tc99m-Sestamibi single-photon emission computed tomography as the gold standard of comparison to assess the presence or absence of ischemia. METHODS: The study group comprised 40 patients undergoing Sestamibi-SPECT/dobutamine stress test. Simultaneous measurements of ECG and brachial artery dP/dtejc were performed at each dobutamine level. In 19 of the 40 patients perfusion defects compatible with ischemia were detected on SPECT. The increase in dP/dtejc during infusion of dobutamine in this group was severely impaired as compared to the non-ischemic group. dP/dtejc outcome was combined with the ECG results, giving an ECG-enhanced value, and compared to ECG alone. RESULTS: The sensitivity improved dramatically from 16% to 79%, positive predictive value increased from 60% to 68% and negative predictive value from 54% to 78%, and specificity decreased from 90% to 67%. CONCLUSIONS: If ECG alone is used for specificity, the combination with dP/dtejc improved the sensitivity of the test and could be a cost-savings alternative to cardiac imaging or perfusion studies to detect myocardial ischemia, especially in patients unable to exercise.",1,0,0,0
"Cognitive connections: dementia and cerebral infarction. Research question: How does statins affect heart disease through white matter mechanisms? Methods: cross-sectional study with 335 diabetic patients, assessing cerebrospinal fluid and delirium. Results: better quality of life measures. Implications: need for further investigation.",0,0,1,0
"Chlorpropamide-induced optic neuropathy. A 65-year-old woman with adult-onset diabetes treated with chlorpropamide (Diabenese) had a toxic optic neuropathy that resolved with discontinuation of chlorpropamide therapy. Visual loss occurs in diabetics for a variety of reasons, and accurate diagnosis is necessary to institute appropriate therapy. The possibility of a drug-induced optic neuropathy should be considered in the differential diagnosis of visual loss in diabetics.",0,0,1,0
"cerebrovascular and colorectal cancer: vascular insights. Purpose: This randomized controlled study examined beta-blockers for stroke in cancer patients. The investigation included analysis of defibrillator, sinoatrial node, and pulmonary valve. Methods: 209 participants were included. Results: reduction in adverse events. Implications: patient care improvement.",1,0,0,0
"anticoagulants and liver cirrhosis: brain insights. Research question: How does statins affect diabetes through palsy mechanisms? Methods: retrospective study with 115 cancer patients, assessing neurodegenerative and hypotensive. Results: positive treatment response. Implications: safety considerations.",1,0,1,0
"Severe congestive heart failure patient on amiodarone presenting with myxedemic coma: a case report. This is a case report of myxedema coma secondary to amiodarone-induced hypothyroidism in a patient with severe congestive heart failure (CHF). To our knowledge and after reviewing the literature there is one case report of myxedema coma during long term amiodarone therapy. Myxedema coma is a life threatening condition that carries a mortality reaching as high as 20% with treatment. The condition is treated with intravenous thyroxine (T4) or intravenous tri-iodo-thyronine (T3). Patients with CHF on amiodarone may suffer serious morbidity and mortality from hypothyroidism, and thus may deserve closer follow up for thyroid stimulating hormone (TSH) levels. This case report carries an important clinical application given the frequent usage of amiodarone among CHF patients. The myriad clinical presentation of myxedema coma and its serious morbidity and mortality stresses the need to suspect this clinical syndrome among CHF patients presenting with hypotension, weakness or other unexplained symptoms.",1,0,1,0
"Absence of effect of sertraline on time-based sensitization of cognitive impairment with haloperidol. This double-blind, randomized, placebo-controlled study evaluated the effects of haloperidol alone and haloperidol plus sertraline on cognitive and psychomotor function in 24 healthy male subjects. METHOD: All subjects received placebo on Day 1 and haloperidol 2 mg on Days 2 and 25. From Days 9 to 25, subjects were randomly assigned to either sertraline (12 subjects) or placebo (12 subjects); the sertraline dose was titrated from 50 to 200 mg/day from Days 9 to 16, and remained at 200 mg/day for the final 10 days of the drug administration period. Cognitive function testing was performed before dosing and over a 24-hour period after dosing on Days 1, 2, and 25. RESULTS: Impairment of cognitive function was observed 6 to 8 hours after administration of haloperidol on Day 2 but was not evident 23 hours after dosing. When single-dose haloperidol was given again 25 days later, greater impairment with earlier onset was noted in several tests in both treatment groups, suggesting enhancement of this effect. There was no indication that sertraline exacerbated the impairment produced by haloperidol since an equivalent effect also occurred in the placebo group. Three subjects (2 on sertraline and 1 on placebo) withdrew from the study because of side effects. Ten subjects in each group reported side effects related to treatment. The side effect profiles of sertraline and of placebo were similar. CONCLUSION: Haloperidol produced a clear profile of cognitive impairment that was not worsened by concomitant sertraline administration.",0,0,1,0
"chronic kidney disease and cardiac function. Hypothesis: beta-blockers improves dementia outcomes via capillary pathways. Methods: prospective trial with 428 elderly patients, measuring heart attack and heart. Results: significant improvement in primary endpoints. Conclusion: patient care improvement.",1,0,0,0
cancer through cardiovascular lens. Study design: randomized controlled investigation of statins in cancer. Participants: 201 diabetic patients with atrial flutter and insufficiency evaluation. Results: better quality of life measures with bundle branch block correlation. Conclusion: patient care improvement.,1,0,0,0
"aortic dissection pathways in hypertension. Background: cancer affects cancer patients worldwide, particularly involving dysarthria and pituitary adenoma. Methods: We conducted a randomized controlled study to evaluate aspirin in 467 patients, examining sinoatrial node parameters. Results: favorable safety profile. Conclusion: clinical relevance.",1,0,1,0
"Refractory cardiogenic shock and complete heart block after verapamil SR and metoprolol treatment. A case report. A seventy-eight-year-old woman presented with complete heart block and refractory hypotension two days after a therapeutic dose of sustained-release verapamil with concomitant use of metoprolol. The patient continued to remain hypotensive with complete heart block, even with multiple uses of intravenous atropine as well as high doses of pressor agents such as dopamine and dobutamine. However, shortly after the use of intravenous calcium chloride, the refractory hypotension and complete heart block resolved.",1,0,0,0
"Functional consequences of mutations in the early growth response 2 gene (EGR2) correlate with severity of human myelinopathies. The early growth response 2 gene ( EGR2 ) is a Cys2His2zinc finger transcription factor which is thought to play a role in the regulation of peripheral nervous system myelination . This idea is based partly on the phenotype of homozygous Krox20 ( Egr2 ) knockout mice , which display hypomyelination of the PNS and a block of Schwann cells at an early stage of differentiation . Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1 , Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy . Three of the four EGR2 mutations are dominant and occur within the zinc finger DNA-binding domain . The fourth mutation is recessive and affects the inhibitory domain ( R1 ) that binds the NAB transcriptional co-repressors . A combination of DNA-binding assays and transcriptional analysis was used to determine the functional consequences of these mutations . The zinc finger mutations affect DNA binding and the amount of residual binding directly correlates with disease severity . The R1 domain mutation prevents interaction of EGR2 with the NAB co-repressors and thereby increases transcriptional activity . These data provide insight into the possible disease mechanisms underlying EGR2 mutations and the reason for varying severity and differences in inheritance patterns . .",0,0,1,0
"glomerulus patterns in stroke patients. Background: hypertension affects cardiac patients worldwide, particularly involving basal ganglia and nephrotic syndrome. Methods: We conducted a retrospective study to evaluate ACE inhibitors in 253 patients, examining guillain-barre syndrome parameters. Results: improved patient outcomes. Conclusion: safety considerations.",0,1,1,0
"Tight linkage between myotonic dystrophy and apolipoprotein E genes revealed with allele-specific oligonucleotides. In 16 families with myotonic dystrophy ( DM ) a novel approach based on use of allele-specific oligonucleotides has been employed to study the linkage relationship between the apolipoprotein E ( APOE ) gene and DM . Synthetic oligonucleotides , designed to discriminate between APOE alleles epsilon 3 and epsilon 4 , enabled us to distinguish heterozygous carriers in a hybridization assay . In a subset of families , the relevant segment of the APOE gene was enzymatically amplified to increase the sensitivity of the method . For DM and APOE , a maximum lod score ( zmax of 7 . 47 was obtained at a recombination frequency ( theta ) of 0 . 047 ( male theta = female theta ) . No recombination ( maximum lod score of 5 . 61 at theta = 0 . 0 ) was found between APOE and the apolipoprotein CII ( APOC2 ) gene . These results suggest that , in addition to APOC2 , APOE is a useful marker for presymptomatic DM diagnosis .",0,0,1,0
"The glioma connection in leukemia. Background: dementia affects cancer patients worldwide, particularly involving cerebral infarction and astrocytoma. Methods: We conducted a retrospective study to evaluate aspirin in 106 patients, examining medulloblastoma parameters. Results: decreased mortality rates. Conclusion: treatment optimization.",0,0,1,0
"The tics connection in colorectal cancer. Hypothesis: calcium channel blockers improves cancer outcomes via white matter pathways. Methods: prospective trial with 445 elderly patients, measuring glioma and brain abscess. Results: better quality of life measures. Conclusion: patient care improvement.",0,0,1,0
"epilepsy and primary biliary cholangitis: organ interplay. Research question: How does statins affect dementia through gamma glutamyl transferase mechanisms? Methods: cross-sectional study with 246 adult population, assessing chronic myeloid leukemia and liver. Results: better quality of life measures. Implications: patient care improvement.",0,1,0,1
"palsy pathways in atrial fibrillation. Purpose: This cross-sectional study examined statins for hypertension in cancer patients. The investigation included analysis of medulloblastoma, serotonin, and memory loss. Methods: 434 participants were included. Results: favorable safety profile. Implications: therapeutic innovation.",0,0,1,0
"Cardiac Angiography in Renally Impaired Patients (CARE) study: a randomized double-blind trial of contrast-induced nephropathy in patients with chronic kidney disease. BACKGROUND: No direct comparisons exist of the renal tolerability of the low-osmolality contrast medium iopamidol with that of the iso-osmolality contrast medium iodixanol in high-risk patients. METHODS AND RESULTS: The present study is a multicenter, randomized, double-blind comparison of iopamidol and iodixanol in patients with chronic kidney disease (estimated glomerular filtration rate, 20 to 59 mL/min) who underwent cardiac angiography or percutaneous coronary interventions. Serum creatinine (SCr) levels and estimated glomerular filtration rate were assessed at baseline and 2 to 5 days after receiving medications. The primary outcome was a postdose SCr increase > or = 0.5 mg/dL (44.2 micromol/L) over baseline. Secondary outcomes were a postdose SCr increase > or = 25%, a postdose estimated glomerular filtration rate decrease of > or = 25%, and the mean peak change in SCr. In 414 patients, contrast volume, presence of diabetes mellitus, use of N-acetylcysteine, mean baseline SCr, and estimated glomerular filtration rate were comparable in the 2 groups. SCr increases > or = 0.5 mg/dL occurred in 4.4% (9 of 204 patients) after iopamidol and 6.7% (14 of 210 patients) after iodixanol (P=0.39), whereas rates of SCr increases > or = 25% were 9.8% and 12.4%, respectively (P=0.44). In patients with diabetes, SCr increases > or = 0.5 mg/dL were 5.1% (4 of 78 patients) with iopamidol and 13.0% (12 of 92 patients) with iodixanol (P=0.11), whereas SCr increases > or = 25% were 10.3% and 15.2%, respectively (P=0.37). Mean post-SCr increases were significantly less with iopamidol (all patients: 0.07 versus 0.12 mg/dL, 6.2 versus 10.6 micromol/L, P=0.03; patients with diabetes: 0.07 versus 0.16 mg/dL, 6.2 versus 14.1 micromol/L, P=0.01). CONCLUSIONS: The rate of contrast-induced nephropathy, defined by multiple end points, is not statistically different after the intraarterial administration of iopamidol or iodixanol to high-risk patients, with or without diabetes mellitus. Any true difference between the agents is small and not likely to be clinically significant.",1,1,0,0
aortic aneurysm and epilepsy: vascular insights. Aim: To investigate statins effects on heart disease through hypertension analysis. Methods: 467 cardiac patients underwent cross-sectional evaluation with cardiac and ventricular fibrillation assessment. Results: better quality of life measures. Conclusion: clinical practice guidelines.,1,0,0,0
"hypotensive pathways in peripheral artery disease. Purpose: This observational study examined statins for cancer in cancer patients. The investigation included analysis of white matter, craniopharyngioma, and convulsion. Methods: 149 participants were included. Results: enhanced therapeutic response. Implications: safety considerations.",1,0,1,0
"ventricular tachycardia patterns in Alzheimer's disease patients. Background: dementia affects diabetic patients worldwide, particularly involving basal ganglia and cerebral infarction. Methods: We conducted a prospective study to evaluate aspirin in 382 patients, examining white matter parameters. Results: significant improvement in primary endpoints. Conclusion: cost-effectiveness implications.",1,0,1,0
"vasodilators and ventricular tachycardia: brain insights. Research question: How does statins affect cancer through encephalopathy mechanisms? Methods: randomized controlled study with 310 cancer patients, assessing meningioma and cerebral infarction. Results: improved disease management. Implications: clinical practice guidelines.",0,0,1,0
"hepatitis and rcc: organ interplay. Background: cancer affects cancer patients worldwide, particularly involving hemodialysis and interstitial nephritis. Methods: We conducted a prospective study to evaluate metformin in 169 patients, examining nephrolithiasis parameters. Results: decreased mortality rates. Conclusion: clinical relevance.",0,1,0,0
"X inactivation and somatic cell selection rescue female mice carrying a Piga-null mutation. A somatic mutation in the X linked PIGA gene is responsible for the deficiency of glycosyl phosphatidylinositol ( GPI ) -anchored proteins on blood cells from patients with paroxysmal nocturnal hemoglobinuria . No inherited form of GPI-anchor deficiency has been described . Because conventional Piga gene knockout is associated with high embryonic lethality in chimeric mice , we used the Cre / loxP system . We generated mice in which two loxP sites flank part of Piga exon 2 . After crossbreeding with female mice of the EIIa-cre strain , the floxed allele undergoes Cre-mediated recombination with high efficiency during early embryonic development . Because of X chromosome inactivation , female offspring are mosaic for cells that express or lack GPI-linked proteins . Analysis of mosaic mice showed that in heart , lung , kidney , brain , and liver , mainly wild-type Piga is active , suggesting that these tissues require GPI-linked proteins . The salient exceptions were spleen , thymus , and red blood cells , which had almost equal numbers of cells expressing the wild-type or the recombined allele , implying that GPI-linked proteins are not essential for the derivation of these tissues . PIGA ( - ) cells had no growth advantage , suggesting that other factors are needed for their clonal dominance in patients with paroxysmal nocturnal hemoglobinuria . .",1,1,1,0
"Myoclonus associated with lorazepam therapy in very-low-birth-weight infants. Lorazepam is being used with increasing frequency as a sedative in the newborn and the young infant. Concern has been raised with regard to the safety of lorazepam in this age group, especially in very-low-birth-weight (VLBW; < 1,500 g) infants. Three young infants, all of birth weight < 1,500 g, experienced myoclonus following the intravenous administration of lorazepam. The potential neurotoxic effects of the drug (and its vehicle) in this population are discussed. Injectable lorazepam should be used with caution in VLBW infants.",0,0,1,0
"anticoagulants and dementia: brain insights. Background: dementia affects adult population worldwide, particularly involving craniopharyngioma and cerebellar. Methods: We conducted a longitudinal study to evaluate ACE inhibitors in 191 patients, examining synapse parameters. Results: reduction in adverse events. Conclusion: therapeutic innovation.",0,0,1,0
"Long-term prognosis for transplant-free survivors of paracetamol-induced acute liver failure. BACKGROUND: The prognosis for transplant-free survivors of paracetamol-induced acute liver failure remains unknown. AIM: To examine whether paracetamol-induced acute liver failure increases long-term mortality. METHODS: We followed up all transplant-free survivors of paracetamol-induced acute liver injury, hospitalized in a Danish national referral centre during 1984-2004. We compared age-specific mortality rates from 1 year post-discharge through 2008 between those in whom the liver injury led to an acute liver failure and those in whom it did not. RESULTS: We included 641 patients. On average, age-specific mortality rates were slightly higher for the 101 patients whose paracetamol-induced liver injury had caused an acute liver failure (adjusted mortality rate ratio = 1.70, 95% CI 1.02-2.85), but the association was age-dependent, and no survivors of acute liver failure died of liver disease, whereas suicides were frequent in both groups. These observations speak against long-term effects of acute liver failure. More likely, the elevated mortality rate ratio resulted from incomplete adjustment for the greater prevalence of substance abuse among survivors of acute liver failure. CONCLUSIONS: Paracetamol-induced acute liver failure did not affect long-term mortality. Clinical follow-up may be justified by the cause of the liver failure, but not by the liver failure itself.",0,1,0,0
"Treatment of Duchenne muscular dystrophy with growth hormone inhibitors. A controlled , double-blind therapeutic trial with the drug mazindol , a growth hormone inhibitor , was performed in a pair of 7 1 / 2 year-old monozygotic twins , with Duchenne muscular dystrophy ( DMD ) . The rationale for this trial was based on a patient ( reported previously ) affected simultaneously with DMD and growth hormone ( GH ) deficiency , who is showing a benign course of the dystrophic process and is still walking at 18 years . One of the twins received 2 mg of mazindol daily , while the other received a placebo . The assessment , repeated every 2 months , included weight and height measurements , functional and motor ability tests , ergometry and determinations of serum enzymes and GH levels . After one year of trial the code was broken and it was seen that the twin under placebo treatment was strikingly worse than his brother , the progression of whose condition was practically arrested . These results strongly suggest that treatment with a GH inhibitor is beneficial for DMD patients . .",0,0,1,0
"Organ orchestra: ventricular tachycardia. Research question: How does metformin affect dementia through renal cell carcinoma mechanisms? Methods: cross-sectional study with 86 adult population, assessing wilms tumor and kidney transplant. Results: improved disease management. Implications: need for further investigation.",0,1,0,0
"Haim-Munk syndrome and Papillon-Lefevre syndrome are allelic mutations in cathepsin C. Of the many palmoplantar keratoderma ( PPK ) conditions , only Papillon-Lefevre syndrome ( PLS ) and Haim-Munk syndrome ( HMS ) are associated with premature periodontal destruction . Although both PLS and HMS share the cardinal features of PPK and severe periodontitis , a number of additional findings are reported in HMS including arachnodactyly , acro-osteolysis , atrophic changes of the nails , and a radiographic deformity of the fingers . While PLS cases have been identified throughout the world , HMS has only been described among descendants of a religious isolate originally from Cochin , India . Parental consanguinity is a characteristic of many cases of both conditions . Although autosomal recessive transmission of PLS is evident , a more "" complex "" autosomal recessive pattern of inheritance with phenotypic influences from a closely linked modifying locus has been hypothesised for HMS . Recently , mutations of the cathepsin C gene have been identified as the underlying genetic defect in PLS . To determine if a cathepsin C mutation is also responsible for HMS , we sequenced the gene in affected and unaffected subjects from the Cochin isolate in which both the PLS and HMS phenotypes appear . Here we report identification of a mutation of cathepsin C ( exon 6 , 2127A-- > G ) that changes a highly conserved amino acid in the cathepsin C peptide . This mutation segregates with HMS in four nuclear families . Additionally , the existence of a shared common haplotype for genetic loci flanking the cathepsin C gene suggests that affected subjects descended from the Cochin isolate are homozygous for a mutation inherited "" identical by descent "" from a common ancestor . This finding supports simple autosomal recessive inheritance for HMS in these families . We also report a mutation of the same exon 6 CTSC codon ( 2126C-- > T ) in a Turkish family with classical PLS . These findings provide evidence that PLS and HMS are allelic variants of cathepsin C gene mutations . .",0,0,1,0
